match_id,date,batter,batting_team,bowling_team,venue,rolling_avg_10,venue_avg,pvt_avg,pvp_avg,career_avg,next_match_runs
501236,2011-05-01,S Dhawan,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",15.5,29.833333333333332,28.666666666666668,1.3125,19.857142857142858,54.0
501235,2011-05-01,R Dravid,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,25.0,30.625,17.727272727272727,1.3636363636363635,24.558139534883722,66.0
501235,2011-05-01,Yuvraj Singh,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,26.0,26.75,33.166666666666664,1.6585365853658536,23.06122448979592,20.0
501235,2011-05-01,MK Pandey,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,13.6,24.8,19.666666666666668,0.875,20.954545454545453,59.0
501235,2011-05-01,LRPL Taylor,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,18.2,16.666666666666668,15.25,0.125,21.103448275862068,20.0
501236,2011-05-01,KC Sangakkara,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",33.5,10.333333333333334,22.4,2.0,30.341463414634145,0.0
501235,2011-05-01,AM Rahane,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,18.3,32.35294117647059,28.48,1.0,15.636363636363637,4.0
501236,2011-05-01,B Chipli,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",17.3,17.0,8.0,0.6666666666666666,16.4,12.0
501236,2011-05-01,S Sohal,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",22.7,56.0,2.5,2.5,15.466666666666667,26.0
501236,2011-05-01,M Vijay,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",25.5,30.857142857142858,18.0,0.5555555555555556,28.03846153846154,5.0
501235,2011-05-01,JD Ryder,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,24.7,9.5,0.0,1.4444444444444444,21.75,0.0
